gene_symbol,condition
INPP5B,pigmentation
INPP5E,pigmentation
IPPK,pigmentation
IRF4,pigmentation
IRX1,pigmentation
IRX2,pigmentation
ITGA3,pigmentation
ITGB1,pigmentation
JAM3,pigmentation
KBTBD8,pigmentation
KCNJ13,pigmentation
KCTD15,pigmentation
KIF13A,pigmentation
KIF3A,pigmentation
KIF5A,pigmentation
KIT,pigmentation
KITLG,pigmentation
KRAS,pigmentation
KRT1,pigmentation
KRT14,pigmentation
KRT17,pigmentation
KRT2,pigmentation
KRT27,pigmentation
KRT4,pigmentation
KRT5,pigmentation
KRT75,pigmentation
KRT76,pigmentation
KRT9,pigmentation
LARP7,pigmentation
LEF1,pigmentation
LEO1,pigmentation
LEP,pigmentation
LHX2,pigmentation
LIPH,pigmentation
LMLN,pigmentation
LMNA,pigmentation
LMX1A,pigmentation
LOX,pigmentation
LRMDA,pigmentation
LRSAM1,pigmentation
LTK,pigmentation
LVRN,pigmentation
LYST,pigmentation
MAFB,pigmentation
MAGOH,pigmentation
MAP1LC3A,pigmentation
MAP2K1,pigmentation
MAP2K2,pigmentation
MAPK3,pigmentation
MASP1,pigmentation
MATN1,pigmentation
MBTPS1,pigmentation
MC1R,pigmentation
MC2R,pigmentation
MCM2,pigmentation
MCM4,pigmentation
MCOLN3,pigmentation
MCRS1,pigmentation
MDM2,pigmentation
MDM4,pigmentation
MDN1,pigmentation
MED12,pigmentation
MED14,pigmentation
MED23,pigmentation
MEF2C,pigmentation
MEMO1,pigmentation
MEN1,pigmentation
MEOX1,pigmentation
MEPCE,pigmentation
MESP1,pigmentation
MFN2,pigmentation
MFSD12,pigmentation
MGRN1,pigmentation
MIB1,pigmentation
MITF,pigmentation
MKKS,pigmentation
MKLN1,pigmentation
MLANA,pigmentation
MLH1,pigmentation
MLPH,pigmentation
MMP17,pigmentation
MPND,pigmentation
MPP5,pigmentation
MPV17,pigmentation
MPZL3,pigmentation
MRAP,pigmentation
MREG,pigmentation
MSH2,pigmentation
MSH6,pigmentation
MTREX,pigmentation
MYC,pigmentation
MYCBP2,pigmentation
MYH9,pigmentation
MYO10,pigmentation
MYO5A,pigmentation
MYO6,pigmentation
MYRIP,pigmentation
MYSM1,pigmentation
NAA10,pigmentation
NBN,pigmentation
NCSTN,pigmentation
NF1,pigmentation
NFIB,pigmentation
NINL,pigmentation
NNT,pigmentation
NOC3L,pigmentation
NOTCH1,pigmentation
NOTCH2,pigmentation
NOTO,pigmentation
NPY,pigmentation
NR0B1,pigmentation
NR3C1,pigmentation
NR4A3,pigmentation
NRARP,pigmentation
NRAS,pigmentation
NSDHL,pigmentation
NSF,pigmentation
NSMCE2,pigmentation
NUP88,pigmentation
OAT,pigmentation
OCA2,pigmentation
OCRL,pigmentation
OPHN1,pigmentation
OPN3,pigmentation
OPTN,pigmentation
OSTM1,pigmentation
OTUD5,pigmentation
OVOL1,pigmentation
PAFAH1B1,pigmentation
PAH,pigmentation
PAICS,pigmentation
PAK1,pigmentation
PALB2,pigmentation
PAQR7,pigmentation
PARD3,pigmentation
PARN,pigmentation
PARP3,pigmentation
PAX3,pigmentation
PAX7,pigmentation
PCBD1,pigmentation
PCDH10,pigmentation
PCNT,pigmentation
PDHB,pigmentation
PEPD,pigmentation
PFAS,pigmentation
PI4K2A,pigmentation
PI4K2B,pigmentation
PICALM,pigmentation
PIGK,pigmentation
PIKFYVE,pigmentation
PKN2,pigmentation
PKNOX1,pigmentation
PLK4,pigmentation
PLXNB2,pigmentation
PMCH,pigmentation
PMEL,pigmentation
PMS2,pigmentation
PNN,pigmentation
POC1B,pigmentation
POFUT1,pigmentation
POGLUT1,pigmentation
POGZ,pigmentation
POLA1,pigmentation
POLG,pigmentation
POLH,pigmentation
POLR1A,pigmentation
POLR2G,pigmentation
POMC,pigmentation
PPARGC1A,pigmentation
PPP4C,pigmentation
PRDM1,pigmentation
PRICKLE2,pigmentation
PRKAR1A,pigmentation
PRKDC,pigmentation
PRPS1,pigmentation
PSEN1,pigmentation
PSEN2,pigmentation
PSENEN,pigmentation
PTCH1,pigmentation
PTCH2,pigmentation
PTEN,pigmentation
PTPN11,pigmentation
PTPN21,pigmentation
PTPN6,pigmentation
PTS,pigmentation
PXDN,pigmentation
RAB11A,pigmentation
RAB11B,pigmentation
RAB17,pigmentation
RAB1A,pigmentation
RAB27A,pigmentation
RAB32,pigmentation
RAB36,pigmentation
RAB38,pigmentation
RAB3A,pigmentation
RAB3IP,pigmentation
RAB44,pigmentation
RAB6A,pigmentation
RAB7A,pigmentation
RAB8A,pigmentation
RAB9A,pigmentation
RABGGTA,pigmentation
RAC1,pigmentation
RACK1,pigmentation
RAD21,pigmentation
RAD50,pigmentation
RADIL,pigmentation
RAF1,pigmentation
RAG1,pigmentation
RAPGEF2,pigmentation
RAPH1,pigmentation
RAX,pigmentation
RB1,pigmentation
RBPJ,pigmentation
RECQL4,pigmentation
REST,pigmentation
REV3L,pigmentation
RHBDF2,pigmentation
RIC8B,pigmentation
RILP,pigmentation
RIT1,pigmentation
RNF2,pigmentation
RNF41,pigmentation
RPGR,pigmentation
RPL24,pigmentation
RPL27A,pigmentation
RPL38,pigmentation
RPS14,pigmentation
RPS19,pigmentation
RPS20,pigmentation
RPS6,pigmentation
RPS7,pigmentation
RTF1,pigmentation
RUVBL2,pigmentation
RXRA,pigmentation
SAMD9,pigmentation
SASH1,pigmentation
SCARB2,pigmentation
SCUBE2,pigmentation
SDC2,pigmentation
SDC4,pigmentation
SDF4,pigmentation
SEMA4C,pigmentation
SF3B1,pigmentation
SFPQ,pigmentation
SFRP4,pigmentation
SGPL1,pigmentation
SGSM2,pigmentation
SH3BP4,pigmentation
SH3PXD2A,pigmentation
SHH,pigmentation
SHOC2,pigmentation
SHROOM2,pigmentation
SIK2,pigmentation
SIX6,pigmentation
SLC12A2,pigmentation
