FamilyID	Leocu<1>	Luden<2>	Ornil<3>	Thmac<4>	Mymur<5>	Gamor<6>	Ammel<7>	Asmec<8>	Asmes<9>	Trros<10>	Trtib<11>	Darer<12>	Sirhi<13>	Sigra<14>	Sians<15>	Ammex<16>	Plwal<17>	Prang<18>	Xetro<19>	Scvul<20>	Hegla<21>	Chlan<22>	Hosap<23>	Zoviv<24>	Tagut<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>
OG0015365	0.298654	0.148446	0.595078	0.140113	0.151357	0.163583	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.119711	9.29672e-12	0.589841	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.10431	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.542774	0.533829	0.561863	0.511509	0.0281318	0.5	0.5	0.5	0.5
OG0015435	0.298654	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0334526	0.562636	0.5	0.5	0.5	0.5	0.00548375	0.00105387	0.0936702	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.107251	0.5	0.5	0.5	0.570431	0.0382894	0.5	0.540881	0.0276027	0.0607442	0.5	0.5	0.542774	0.533829	0.0318217	0.522622	0.0281318	0.5	0.5	0.5	0.5
OG0015438	0.298654	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0689135	0.518366	0.5	0.5	0.00548375	1.09435e-06	0.0936702	0.636218	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.107251	0.5	0.5	0.5	0.570431	0.0382894	0.5	0.540881	0.0799963	0.540785	0.529541	0.00804471	0.542774	0.533829	0.0318217	0.522622	0.0281318	0.5	0.5	0.5	0.5
OG0015462	0.708412	0.600855	0.595078	0.595078	0.151357	0.163583	0.0491306	0.5	0.5	0.0167245	0.532926	0.0689135	0.0274625	0.00664676	0.019767	0.5	0.5	0.589841	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.525639	0.138979	0.540881	0.553842	0.540785	0.529541	0.505368	0.542774	0.533829	0.561863	0.0172298	0.0281318	0.5	0.5	0.5	0.5
OG0015463	0.298654	0.0526602	0.140113	0.140113	0.151357	0.163583	4.72885e-07	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.581	0.119711	0.132539	0.198922	0.0582126	0.034898	0.523358	0.071166	0.631927	0.192849	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.525639	0.138979	0.0608857	0.5	0.5	0.5	0.5	0.542774	0.533829	0.561863	0.511509	0.518815	0.613286	0.509904	0.516873	0.522359
OG0015484	0.298654	0.5	0.5	0.5	0.5	0.5	0.098533	2.88866e-05	8.66548e-05	0.532926	0.0491083	0.0689135	0.0274625	0.513207	0.00664676	0.119711	0.581	0.132539	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.107251	0.5	0.5	0.5	0.570431	0.0129793	0.662817	0.540881	0.553842	0.540785	0.529541	0.505368	0.542774	0.533829	0.561863	0.511509	0.0281318	0.5	0.5	0.5	0.5
OG0015488	0.298654	0.5	0.5	0.5	0.5	0.5	0.594314	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.581	1.29967e-09	0.589841	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.107251	0.5	0.5	0.5	0.570431	0.525639	0.138979	0.0608857	0.5	0.5	0.5	0.5	0.542774	0.533829	0.561863	0.511509	0.0281318	0.5	0.5	0.5	0.5
OG0015489	0.298654	0.600855	0.140113	0.140113	0.151357	0.163583	0.594314	0.500029	4.33291e-05	0.0167245	0.532926	0.023668	0.518366	0.513207	0.019767	0.581	0.119711	0.589841	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.525639	0.594293	0.540881	0.553842	0.540785	0.529541	0.505368	0.542774	0.533829	0.561863	0.511509	0.0281318	0.5	0.5	0.5	0.5
OG0015491	0.708412	0.600855	0.140113	0.595078	0.602878	0.163583	0.594314	0.500029	0.500029	0.5	0.5	0.0689135	0.0274625	0.019767	0.513207	0.5	0.5	0.5	0.5	0.539073	0.523358	0.034898	0.547845	0.631927	0.192849	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.525639	0.594293	0.540881	0.0799963	0.540785	0.529541	0.505368	0.542774	0.050447	0.5	0.5	0.518815	0.613286	0.509904	0.516873	0.522359
OG0015496	0.298654	0.0526602	0.140113	0.140113	0.151357	0.163583	0.0491306	0.5	0.5	0.562636	0.0334526	0.0689135	0.0274625	0.019767	0.513207	0.581	0.119711	0.589841	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.525639	0.138979	0.540881	0.0276027	0.540785	0.529541	0.505368	0.542774	0.533829	0.561863	0.511509	0.0281318	0.5	0.5	0.5	0.5
