OG_ID,analysis_paml
OG0005883,paml_selected
OG0005916,paml_selected
OG0005937,paml_selected
OG0005941,paml_selected
OG0005994,paml_selected
OG0006001,paml_selected
OG0006098,paml_selected
OG0006177,paml_selected
OG0006183,paml_selected
OG0006196,paml_selected
OG0006218,paml_selected
OG0006228,paml_selected
OG0006249,paml_selected
OG0006273,paml_selected
OG0006293,paml_selected
OG0006303,paml_selected
OG0006327,paml_selected
OG0006356,paml_selected
OG0006376,paml_selected
OG0006383,paml_selected
OG0006389,paml_selected
OG0006422,paml_selected
OG0006450,paml_selected
OG0006464,paml_selected
OG0006512,paml_selected
OG0006517,paml_selected
OG0006533,paml_selected
OG0006541,paml_selected
OG0006568,paml_selected
OG0006569,paml_selected
OG0006575,paml_selected
OG0006583,paml_selected
OG0006600,paml_selected
OG0006601,paml_selected
OG0006647,paml_selected
OG0006657,paml_selected
OG0006676,paml_selected
OG0006732,paml_selected
OG0006739,paml_selected
OG0006745,paml_selected
OG0006782,paml_selected
OG0006797,paml_selected
OG0006863,paml_selected
OG0006871,paml_selected
OG0006878,paml_selected
OG0006928,paml_selected
OG0006948,paml_selected
OG0006953,paml_selected
OG0006969,paml_selected
OG0006973,paml_selected
OG0006981,paml_selected
OG0006996,paml_selected
OG0006999,paml_selected
OG0007014,paml_selected
OG0007058,paml_selected
OG0007064,paml_selected
OG0007077,paml_selected
OG0007101,paml_selected
OG0007109,paml_selected
OG0007113,paml_selected
OG0007136,paml_selected
OG0007161,paml_selected
OG0007172,paml_selected
OG0007192,paml_selected
OG0007202,paml_selected
OG0007213,paml_selected
OG0007240,paml_selected
OG0007317,paml_selected
OG0007319,paml_selected
OG0007332,paml_selected
OG0007344,paml_selected
OG0007350,paml_selected
OG0007365,paml_selected
OG0007371,paml_selected
OG0007411,paml_selected
OG0007419,paml_selected
OG0007433,paml_selected
OG0007459,paml_selected
OG0007469,paml_selected
OG0007478,paml_selected
OG0007479,paml_selected
OG0007506,paml_selected
OG0007532,paml_selected
OG0007534,paml_selected
OG0007566,paml_selected
OG0007598,paml_selected
OG0007606,paml_selected
OG0007611,paml_selected
OG0007620,paml_selected
OG0007628,paml_selected
OG0007630,paml_selected
OG0007633,paml_selected
OG0007647,paml_selected
OG0007689,paml_selected
OG0007713,paml_selected
OG0007715,paml_selected
OG0007739,paml_selected
OG0007744,paml_selected
OG0007746,paml_selected
OG0007754,paml_selected
OG0007756,paml_selected
OG0007761,paml_selected
OG0007799,paml_selected
OG0007816,paml_selected
OG0007831,paml_selected
OG0007841,paml_selected
OG0007875,paml_selected
OG0007885,paml_selected
OG0007886,paml_selected
OG0007895,paml_selected
OG0007915,paml_selected
OG0007918,paml_selected
OG0007919,paml_selected
OG0007927,paml_selected
OG0007932,paml_selected
OG0007948,paml_selected
OG0007951,paml_selected
OG0007993,paml_selected
OG0008022,paml_selected
OG0008023,paml_selected
OG0008078,paml_selected
OG0008099,paml_selected
OG0008115,paml_selected
OG0008127,paml_selected
OG0008133,paml_selected
OG0008149,paml_selected
OG0008157,paml_selected
OG0008163,paml_selected
OG0008172,paml_selected
OG0008197,paml_selected
OG0008201,paml_selected
OG0008226,paml_selected
OG0008237,paml_selected
OG0008285,paml_selected
OG0008295,paml_selected
OG0008321,paml_selected
OG0008342,paml_selected
OG0008349,paml_selected
OG0008367,paml_selected
OG0008370,paml_selected
OG0008378,paml_selected
OG0008400,paml_selected
OG0008406,paml_selected
OG0008426,paml_selected
OG0008437,paml_selected
OG0008452,paml_selected
OG0008523,paml_selected
OG0008557,paml_selected
OG0008566,paml_selected
OG0008615,paml_selected
OG0008619,paml_selected
OG0008645,paml_selected
OG0008669,paml_selected
OG0008689,paml_selected
OG0008693,paml_selected
OG0008702,paml_selected
OG0008714,paml_selected
OG0008732,paml_selected
OG0008735,paml_selected
OG0008753,paml_selected
OG0008776,paml_selected
OG0008781,paml_selected
OG0008786,paml_selected
OG0008795,paml_selected
OG0008833,paml_selected
