FamilyID	Luden<1>	Ornil<2>	Thmac<3>	Mymur<4>	Gamor<5>	Ammel<6>	Asmec<7>	Asmes<8>	Trros<9>	Trtib<10>	Darer<11>	Sirhi<12>	Sigra<13>	Sians<14>	Miuni<15>	Geser<16>	Ammex<17>	Plwal<18>	Prang<19>	Bubuf<20>	Soara<21>	Ereur<22>	Cocri<23>	Orcun<24>	Ranor<25>	Nagal<26>	Jajac<27>	Hegla<28>	Chlan<29>	Elmax<30>	Chasi<31>	Ectel<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>
OG0000951	0.746723	0.737457	0.737457	0.749861	0.199384	0.736197	0.500103	0.500103	0.603491	0.15643	0.698705	0.62575	0.144982	0.0548328	0.567241	0.0360972	0.667844	0.243215	0.682887	0.212347	0.0457603	0.582518	0.589774	0.59598	0.556771	0.0304289	0.0033997	0.0286662	0.0808181	0.0547787	0.0442907	0.580127	N/A	0.186517	0.696456	0.540859	0.509989	0.527374	0.692415	0.582846	0.736162	0.624692	0.656431	0.0129828	0.0183299	0.542115	0.566182	0.519401	0.604317	0.517184	0.326512	0.527569	0.106515	0.507334	0.52871	0.509579	0.520806	0.512701	0.52385	0.512749	0.538964	0.526569	0.521865
OG0000956	0.500253	0.000137808	0.484997	0.505381	0.0857514	0.431	0.500103	0.500103	0.0974254	0.236886	0.742673	0.62575	0.000390185	0.606622	0.535486	0.535486	0.667844	0.243215	0.682887	0.118123	0.0863173	0.557526	0.0943185	0.56745	0.520101	0.520101	0.546564	0.536821	0.536821	0.568099	0.555781	0.555781	N/A	0.00330368	0.170345	0.565312	0.516483	0.544373	0.729714	0.605724	0.430941	0.0972402	0.719886	0.0328507	0.68099	0.0223368	0.534896	0.509845	0.556923	0.508705	0.633282	0.527569	0.0530725	0.504907	0.519424	0.506417	0.514019	0.508522	0.516095	0.0128313	0.526506	0.517956	0.51474
OG0000957	0.381688	3.41244e-08	0.774907	0.749861	0.407913	0.0620175	0.500103	0.500103	0.603491	0.603491	0.638415	0.0653508	0.583585	0.126736	0.5	0.5	0.756622	0.756622	0.772584	0.212347	0.582518	0.582518	0.589774	0.59598	0.556771	0.556771	0.567381	0.553694	0.553694	0.596851	0.580127	0.580127	N/A	0.186517	0.696456	0.540859	0.509989	0.0141414	0.692415	0.582846	0.736162	0.624692	0.656431	0.624445	0.00024404	0.536438	0.566182	0.519401	0.00240412	0.517184	0.715914	0.552879	0.106515	0.507334	0.52871	0.509579	0.520806	0.512701	0.52385	0.512749	0.538964	0.526569	0.521865
OG0000959	0.810471	3.25387e-15	0.0106812	0.0134702	0.304884	0.0005603	7.66134e-25	1.23681e-08	5.36234e-07	0.357991	6.52778e-05	0.00251897	0.583585	0.583585	0.567241	0.0360972	0.667844	0.243215	0.0975877	0.118123	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.000627567	0.763175	0.565312	0.516483	0.544373	0.759037	0.626615	0.0652406	0.681856	0.000492496	0.681546	0.641979	0.0159641	0.534896	0.509845	0.0292201	0.508705	0.633282	0.527569	0.149544	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
OG0000960	0.5	0.5	0.5	0.5	0.5	0.16022	0.500034	0.500034	6.05884e-11	0.0206336	0.760175	0.639502	0.00981648	0.162508	0.62124	0.0717816	0.0995381	0.550032	0.573943	1.21324e-07	0.0449298	0.530109	0.533047	0.56745	1.62348e-05	0.0585047	0.000353491	0.536821	0.536821	0.5	0.5	0.5	N/A	0.492277	0.00602856	0.5	0.5	0.5	0.644425	0.0866772	0.609023	7.95045e-07	0.211839	0.164206	0.697752	0.547685	0.594273	0.0148378	0.677233	0.533486	0.804437	0.597524	0.0226251	0.502463	0.509857	0.503224	0.00355463	0.508522	0.516095	0.508554	0.526506	0.0136316	0.5
OG0000969	0.381688	0.737457	0.737457	0.749861	0.407913	0.736197	0.500103	5.148e-05	0.603491	0.15643	0.722369	0.62575	0.606622	0.606622	0.567241	0.567241	0.0724567	0.390382	0.416029	0.212347	0.582518	0.582518	0.589774	0.59598	0.556771	0.556771	0.567381	0.0286662	0.553694	0.596851	0.580127	0.580127	N/A	0.186517	0.696456	0.540859	0.509989	0.527374	0.692415	0.582846	0.736162	0.624692	0.656431	0.000627183	0.104378	0.0223368	0.566182	0.519401	0.604317	0.517184	0.715914	0.552879	0.106515	0.507334	0.52871	0.509579	0.520806	0.512701	0.52385	0.512749	0.538964	0.526569	0.521865
OG0000976	0.783765	0.22071	0.0979779	0.786731	0.798496	0.736197	0.000154422	0.500103	0.603491	0.15643	0.638415	0.595472	0.107734	0.0392936	0.595698	0.00723875	0.181698	0.390382	0.772584	0.28831	0.582518	0.582518	0.589774	0.59598	0.556771	0.556771	0.567381	0.553694	0.0286662	0.1463	0.580127	0.120857	N/A	0.810853	0.130164	0.553346	0.513252	0.535993	0.692415	0.582846	0.736162	0.624692	0.656431	0.624445	0.00696923	0.530652	0.594273	0.528676	0.643947	0.525442	0.418861	0.552879	0.724973	0.507334	0.52871	0.509579	0.520806	0.512701	0.52385	0.512749	0.538964	0.526569	0.521865
OG0000977	0.500253	0.802317	0.802317	0.813178	0.823799	0.0450636	0.500137	6.864e-05	0.630528	0.630528	0.307372	0.0759943	0.595369	0.595369	0.567241	0.567241	0.806965	0.806965	0.286252	0.641202	0.0863173	0.557526	0.0943185	0.101222	0.538998	0.0585047	0.546564	0.536821	0.536821	0.568099	0.555781	0.555781	N/A	0.0760727	0.170345	0.565312	0.516483	0.544373	0.729714	0.605724	0.773657	0.655323	0.691121	0.0970145	0.0183299	0.542115	0.566182	0.519401	0.604317	0.517184	0.141784	0.576135	0.673395	0.504907	0.519424	0.506417	0.514019	0.508522	0.516095	0.508554	0.526506	0.517956	0.51474
OG0000979	5.52738e-06	1.03528e-06	0.014366	0.00359989	0.0108126	0.364429	0.500069	0.000102953	0.0784293	0.630528	0.262025	0.595472	4.29713e-06	0.583585	0.567241	0.100907	0.837755	0.550032	1.97371e-05	0.00531036	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.535966	0.529153	0.04351	N/A	0.0760727	0.062019	0.576779	0.51968	0.00212979	0.729714	0.160354	0.364372	0.655323	0.691121	0.655038	0.070395	0.0159641	0.566182	0.519401	0.604317	0.517184	0.045422	0.597524	0.261232	0.0036925	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.509102	0.507453
OG0000981	0.170726	0.609905	0.609905	0.618646	0.62814	0.609046	0.500034	0.500034	0.5	0.5	0.599934	0.542011	0.0458097	0.530537	0.100907	0.0360972	0.756622	0.031934	0.772584	0.212347	4.68957e-06	0.0757593	0.00596737	2.65084e-10	1.45897e-09	3.9512e-06	0.637061	0.612348	0.000131757	0.00185872	0.00671794	0.0183725	N/A	0.397448	0.584301	0.514213	0.503364	0.509385	0.582005	0.530241	0.609023	0.548008	0.0934298	0.0244922	0.566019	0.512615	0.566182	0.519401	0.604317	0.517184	0.715914	0.552879	0.000274698	0.514506	0.0830118	0.515813	0.0213106	0.528889	0.553041	0.528995	0.584028	0.55104	0.542306
OG0000982	0.0201281	2.0841e-06	0.019587	0.0212556	0.84225	0.0652649	8.58e-05	5.88992e-09	0.00274163	0.603491	0.0105523	0.169187	0.61737	0.0701885	0.535486	0.535486	0.0236384	0.134163	0.286252	0.641202	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.00976385	0.207807	0.576779	0.51968	3.7836e-05	0.759037	0.626615	0.801158	0.280215	0.294027	0.655038	0.0121358	1.20014e-05	0.566182	0.519401	0.156669	0.517184	0.141784	0.576135	0.00941964	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
OG0000986	0.381688	0.737457	0.737457	0.749861	0.407913	0.0264309	0.500103	0.500103	0.630528	0.630528	0.184762	0.0865247	0.606622	0.606622	0.62124	0.62124	0.756622	0.756622	0.772584	0.688666	0.557526	0.557526	0.562854	0.59598	0.0854687	0.556771	0.567381	0.553694	0.0808181	0.102196	0.0836967	0.555781	N/A	0.810853	0.696456	0.540859	0.509989	0.527374	0.692415	0.582846	0.736162	0.0734173	0.691121	0.00138022	0.120859	0.547685	0.594273	0.528676	0.0872844	0.525442	0.418861	0.552879	0.346211	0.504907	0.519424	0.506417	0.00710928	0.512701	0.52385	0.512749	0.538964	0.517956	0.51474
OG0000987	0.004644	0.265766	0.484997	0.147991	0.823799	0.773691	0.500137	0.500137	0.630528	0.198665	0.698705	0.017965	0.606622	0.606622	0.535486	0.535486	0.756622	0.00910387	0.772584	0.641202	0.0152739	0.530109	0.533047	0.535603	0.520101	0.520101	0.52415	0.518946	0.00956073	0.535966	0.529153	0.529153	N/A	0.0760727	0.170345	0.565312	0.516483	0.544373	0.729714	0.605724	0.773657	0.655323	0.691121	0.0970145	0.00102165	0.547685	0.566182	0.519401	0.156669	0.517184	0.715914	0.552879	0.261232	0.502463	0.509857	0.503224	0.507084	0.504288	0.508147	0.504305	0.513526	0.509102	0.507453
OG0000991	0.10784	0.774907	0.22071	0.786731	0.798496	0.773691	6.864e-05	0.500137	0.0974254	0.236886	0.0164901	0.639502	0.606622	0.0625363	0.595698	0.595698	0.262357	0.262357	0.820778	0.212347	0.530109	0.530109	0.533047	0.535603	0.520101	0.520101	0.52415	0.518946	0.518946	0.535966	0.529153	0.529153	N/A	0.0760727	0.733911	0.553346	0.513252	0.535993	0.729714	0.605724	0.773657	0.0972402	0.719886	0.681546	0.00102165	0.547685	0.566182	0.519401	0.0584744	0.517184	0.141784	0.576135	0.261232	0.502463	0.509857	0.503224	0.507084	0.504288	0.508147	0.504305	0.513526	0.509102	0.507453
OG0000992	0.746723	0.737457	0.737457	0.184356	0.762495	0.219042	0.000205887	6.864e-05	0.15643	0.603491	0.262025	0.0865247	3.70035e-07	0.000113878	0.5	0.5	5.52301e-06	0.00390392	0.411154	0.123258	0.530109	0.0152739	0.533047	0.0181066	0.520101	0.520101	0.52415	0.518946	0.518946	0.535966	0.529153	0.529153	N/A	0.186517	0.696456	0.540859	0.509989	0.527374	0.126555	0.605724	0.773657	0.655323	0.294027	0.655038	2.47925e-05	0.547685	0.566182	0.519401	0.00240412	0.00874268	0.0895321	0.617212	0.261232	0.502463	0.509857	0.503224	0.507084	0.504288	0.508147	0.504305	0.513526	0.509102	0.507453
OG0000993	0.0127093	3.25387e-15	0.00058038	0.0134702	2.22664e-06	0.131195	3.00286e-08	0.500206	0.0974254	0.000398328	4.01423e-14	0.561012	0.0236212	0.0673122	0.5	0.5	0.181698	0.756622	0.199632	0.579907	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.000627567	0.763175	0.565312	0.516483	0.544373	0.759037	0.626615	0.263827	0.681856	0.719886	0.681546	0.00663721	0.518742	0.534896	0.509845	0.084524	0.508705	0.0703153	0.552879	0.149544	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
OG0000994	0.292528	0.0307714	0.278986	0.125343	0.709357	0.736197	0.500137	6.864e-05	0.109655	0.573064	0.0105523	0.00238486	0.000962389	0.000313864	0.535486	0.535486	0.0697788	0.596786	0.0853938	0.0346536	0.530109	0.0152739	0.533047	0.535603	0.520101	0.520101	0.52415	0.518946	0.518946	0.535966	0.529153	0.529153	N/A	0.761047	0.647923	0.527823	0.506693	0.518507	0.0851991	0.582846	0.169141	0.624692	0.23789	0.0732448	3.48153e-09	0.563777	0.566182	0.519401	0.156669	0.00874268	0.0895321	0.617212	0.261232	0.502463	0.509857	0.503224	0.507084	0.504288	0.508147	0.504305	0.513526	0.509102	0.507453
OG0000995	0.292528	0.685023	0.278986	0.6969	0.316372	0.683835	0.500069	0.500069	0.573064	0.109655	0.670998	0.578804	0.0879398	0.558306	0.567241	0.100907	0.667844	0.243215	0.682887	0.212347	0.000572508	0.557526	0.0943185	0.00109041	0.00919372	0.158295	2.34101e-05	0.0808181	0.553694	0.186413	6.78443e-14	0.658734	N/A	0.761047	0.647923	0.527823	0.506693	0.518507	0.644425	0.557766	0.683803	0.589217	0.614344	0.00578624	0.619266	0.524754	0.566182	0.519401	0.604317	0.517184	0.326512	0.527569	0.0262717	0.509742	0.000305027	0.506417	0.0142151	0.520899	0.0204363	0.525012	0.000957849	0.53495	5.70075e-06
OG0000999	0.693864	0.685023	0.278986	0.6969	0.135979	0.00233924	0.000154422	2.42524e-13	0.236886	0.0974254	2.94614e-08	0.00137959	0.595369	0.0026253	0.595698	0.0540395	0.276427	0.000591631	0.455652	0.688666	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.810853	0.300619	0.527823	0.506693	0.518507	0.692415	0.582846	0.736162	0.0130413	0.719886	0.000174737	0.71295	0.000731554	0.594273	0.528676	0.643947	0.525442	0.0122912	0.635352	0.0018249	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
OG0001011	0.0168644	0.433116	0.774907	0.453917	0.798496	0.219042	0.000154422	0.500103	0.198665	0.630528	0.262025	0.62575	0.144982	0.00764643	0.144543	0.595698	0.0668567	0.485198	0.286252	0.688666	0.557526	0.557526	0.562854	0.101222	0.0585047	0.0202991	0.546564	0.0552386	0.536821	0.568099	0.555781	0.0836967	N/A	0.268826	0.733911	0.553346	0.513252	0.535993	0.729714	0.605724	0.430941	0.655323	0.691121	0.655038	0.000545748	0.542115	0.594273	0.528676	0.643947	0.525442	0.768991	0.576135	0.346211	0.504907	0.519424	0.506417	0.514019	0.508522	0.516095	0.508554	0.526506	0.517956	0.51474
OG0001019	0.381688	0.737457	0.737457	0.749861	0.407913	0.277169	0.500103	0.500103	0.573064	0.573064	0.599934	0.578804	0.0314705	0.558306	0.567241	0.567241	0.485198	0.806965	0.286252	0.641202	0.530109	0.530109	0.533047	0.535603	0.127524	0.000193358	0.604721	0.553694	0.553694	0.535966	0.529153	0.529153	N/A	0.761047	0.0876746	0.540859	0.509989	0.527374	0.644425	0.557766	0.114665	0.589217	0.614344	0.589026	0.00304831	0.524754	0.566182	0.519401	0.604317	0.517184	0.141784	0.576135	0.261232	0.502463	0.509857	0.503224	0.507084	9.23448e-06	0.00039443	2.87986e-17	0.538964	0.509102	0.507453
OG0001022	0.746723	0.170535	0.737457	0.184356	0.199384	0.277169	5.89093e-10	3.432e-05	0.603491	0.603491	0.670998	0.611096	0.0548328	0.595369	0.567241	0.567241	0.134163	0.806965	0.820778	0.688666	0.582518	0.582518	0.589774	0.59598	0.556771	0.556771	0.567381	0.553694	0.553694	0.596851	0.580127	0.580127	N/A	0.810853	0.696456	0.540859	0.509989	0.527374	0.692415	0.124988	0.683803	0.624692	0.656431	0.0732448	0.0121358	0.019152	0.594273	0.528676	0.218552	0.525442	0.768991	0.576135	0.724973	0.507334	0.52871	0.509579	0.520806	0.512701	0.52385	0.512749	0.538964	0.526569	0.521865
OG0001023	0.170726	0.057563	0.609905	0.618646	0.62814	0.609046	0.500034	0.500034	0.109655	0.573064	0.000907874	0.561012	0.530537	0.530537	0.567241	0.567241	0.181698	0.756622	0.199632	0.641202	0.192336	0.626159	0.636164	2.48277e-07	0.0704149	0.0704149	8.83817e-05	4.10589e-05	0.584677	0.090451	0.622823	0.187147	N/A	0.397448	0.584301	0.514213	0.503364	0.509385	0.582005	0.530241	0.609023	0.0245503	0.614344	0.0490014	0.594052	0.0281444	0.566182	0.519401	0.604317	0.517184	0.715914	0.552879	0.0020705	0.512133	0.546474	0.515813	0.533955	0.520899	0.538802	0.000318562	0.562407	0.543104	0.535644
OG0001027	0.0168644	0.774907	0.774907	0.453917	0.798496	0.773691	0.000205887	0.500137	0.630528	0.630528	0.670998	0.611096	7.54706e-06	0.595369	0.567241	0.567241	0.756622	0.390382	0.772584	0.641202	0.557526	0.557526	0.0943185	0.56745	0.538998	0.538998	0.546564	0.536821	0.536821	0.568099	0.0836967	0.555781	N/A	0.0760727	0.733911	0.553346	0.513252	0.535993	0.729714	0.605724	0.773657	0.655323	0.691121	0.655038	0.0121358	0.019152	0.566182	0.519401	0.604317	0.517184	0.715914	0.552879	0.673395	0.504907	0.519424	0.506417	0.514019	0.508522	0.516095	0.508554	0.526506	0.517956	0.51474
OG0001028	0.746723	0.00707424	0.737457	0.184356	0.407913	0.736197	0.000154422	0.500103	0.603491	0.15643	0.000199903	0.578804	0.558306	0.0314705	0.567241	0.567241	0.756622	0.756622	0.772584	0.641202	0.15974	0.0608458	0.614119	0.621577	0.573494	0.573494	0.586728	0.569626	0.569626	0.186413	0.602409	0.15526	N/A	0.186517	0.696456	0.540859	0.509989	0.527374	0.692415	0.582846	0.736162	0.624692	0.656431	0.624445	0.0529884	0.524754	0.566182	0.519401	0.604317	0.517184	0.715914	0.552879	0.0262717	0.509742	0.537723	0.512711	0.52745	0.516826	0.531417	0.516889	0.550923	0.53495	0.528831
OG0001029	0.448661	0.774907	0.774907	0.786731	0.798496	0.773691	8.58e-05	0.000257347	0.198665	0.630528	0.722369	0.611096	0.0548328	0.595369	0.567241	0.567241	0.756622	0.031934	0.772584	0.641202	0.557526	0.557526	0.562854	0.0362182	0.538998	0.538998	0.546564	0.536821	0.536821	0.568099	0.555781	0.555781	N/A	0.0760727	0.733911	0.553346	0.513252	0.535993	0.729714	0.605724	0.218996	0.655323	0.691121	0.0221712	0.662471	0.019152	0.566182	0.519401	0.604317	0.517184	0.715914	0.552879	0.673395	0.504907	0.519424	0.506417	0.514019	0.508522	0.516095	0.508554	0.526506	0.517956	0.51474
OG0001030	0.10784	0.433116	0.433116	0.453917	0.798496	0.773691	0.500103	0.500103	0.198665	0.000746659	0.670998	0.595472	0.57124	2.2497e-06	0.567241	0.567241	0.262357	0.806965	0.820778	0.212347	0.557526	0.557526	0.562854	0.56745	0.538998	0.538998	0.546564	0.536821	0.536821	0.568099	0.0295667	0.555781	N/A	0.0760727	0.733911	0.553346	0.513252	0.535993	0.729714	0.605724	0.430941	0.655323	0.691121	0.655038	0.070395	0.530652	0.566182	0.519401	0.604317	0.517184	0.141784	0.576135	0.673395	0.504907	0.519424	0.506417	0.514019	0.508522	0.516095	0.508554	0.526506	0.517956	0.51474
