gene_symbol,condition
MTF1,eyeloss
MTHFD2,eyeloss
MTHFSL,eyeloss
MVK,eyeloss
MYO10,eyeloss
MYO15,eyeloss
MYO7A,eyeloss
MYSM1,eyeloss
NAA10,eyeloss
NAB2,eyeloss
NADK2,eyeloss
NBAS,eyeloss
NCALD,eyeloss
NCOA3,eyeloss
NCOA6,eyeloss
NCS1,eyeloss
NDFIP2,eyeloss
NDP,eyeloss
NDUFA8,eyeloss
NDUFB11,eyeloss
NDUFS1,eyeloss
NEDD4L,eyeloss
NFIL3,eyeloss
NFKB1,eyeloss
NHS,eyeloss
NODAL,eyeloss
NOL8,eyeloss
NOS1AP,eyeloss
NSUN2,eyeloss
NT5DC1,eyeloss
NUTF2,eyeloss
NXN,eyeloss
OPLAH,eyeloss
OTX2,eyeloss
P2RX7,eyeloss
PARD3,eyeloss
PARP1,eyeloss
PAX2,eyeloss
PAX6,eyeloss
PCDH12,eyeloss
PCDH15,eyeloss
PCDH18,eyeloss
PDCD2,eyeloss
PDE6C,eyeloss
PDE6D,eyeloss
PDHX,eyeloss
PEX3,eyeloss
PFN1,eyeloss
PGAM5,eyeloss
PHYKPL,eyeloss
PIEZO2,eyeloss
PIGL,eyeloss
PIP5K1C,eyeloss
PITX2,eyeloss
PITX3,eyeloss
PKD1L2,eyeloss
PKIG,eyeloss
PLA2G10,eyeloss
PLA2G2E,eyeloss
PLAC8,eyeloss
PLEKHG3,eyeloss
PLEKHM1,eyeloss
PLXND1,eyeloss
PMEL,eyeloss
POMGNT1,eyeloss
POMT1,eyeloss
POMT2,eyeloss
PORCN,eyeloss
PPFIA2,eyeloss
PQBP1,eyeloss
PRC1,eyeloss
PRDM4,eyeloss
PRIMPOL,eyeloss
PRKAB1,eyeloss
PRKCl,eyeloss
PROM2,eyeloss
PRSS56,eyeloss
PTCH1,eyeloss
PTMA,eyeloss
PTPN23,eyeloss
PTPRU,eyeloss
PXDN,eyeloss
R3HCC1L,eyeloss
RAB11A,eyeloss
RAB11FIP4,eyeloss
RAB18,eyeloss
RAB19,eyeloss
RAB35,eyeloss
RAB3GAP1,eyeloss
RAB3GAP2,eyeloss
RAB5A,eyeloss
RAET1C,eyeloss
RAF1,eyeloss
RARB,eyeloss
RAX,eyeloss
RBFOX1,eyeloss
RBM42,eyeloss
RBP4,eyeloss
RERE,eyeloss
RETREG3,eyeloss
RFX7,eyeloss
RHBDF1,eyeloss
RIC8A,eyeloss
RNF10,eyeloss
RNF144B,eyeloss
RNF157,eyeloss
RNF38,eyeloss
