FamilyID	Leocu<1>	Luden<2>	Nebri<3>	Thmac<4>	Mymur<5>	Gamor<6>	Ammel<7>	Asmec<8>	Asmes<9>	Trros<10>	Trtib<11>	Darer<12>	Sirhi<13>	Sigra<14>	Sians<15>	Ammex<16>	Plwal<17>	Prang<18>	Xetro<19>	Hosap<20>	Zoviv<21>	Tagut<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>
OG0000091	0.326919	0.0607102	0.000539005	0.00125908	0.00182182	0.0107482	0.23383	0.0219679	5.58922e-17	0.678987	1.57963e-06	0.00722781	0.0497597	0.262628	0.0287311	0.780833	0.0154401	0.433503	3.59181e-07	0.193191	0.615705	0.615705	N/A	0.05992	0.00021374	0.0909402	0.618005	0.532118	0.582843	0.822403	0.68599	0.000602835	0.749791	0.00870403	0.195154	1.17671e-07	0.581916	0.570009	2.01469e-08	0.0149728	0.762031	0.00022821	0.519278
OG0000092	2.33966e-06	2.43681e-09	0.0277062	9.17989e-07	5.64574e-11	5.30617e-06	0.836393	0.507818	0.00395178	0.105188	2.20231e-05	0.688361	0.0506132	0.566264	0.00112773	0.043582	0.267842	0.907678	7.81232e-21	0.0240401	0.296979	1.3967e-05	N/A	0.00568359	0.84839	0.00929694	4.34534e-05	0.548123	0.0127261	0.0219476	0.661749	0.835513	0.0240708	0.729387	0.295465	0.633378	0.528364	0.62568	0.00903289	0.370718	0.689156	0.562612	3.70476e-07
OG0000094	0.731177	0.0359858	0.215069	0.365557	0.0709263	0.408914	0.846508	0.0104465	0.506958	0.693679	0.0158949	0.29396	0.697373	0.656346	0.241574	0.675562	0.000200022	0.372389	0.000232676	0.812742	0.797362	0.127848	N/A	0.298591	0.303341	0.815424	0.595019	0.52499	0.565729	0.811847	0.674272	0.211235	0.179933	0.0561639	8.96089e-05	0.201958	0.574318	0.0761053	0.000481343	0.0878977	0.23719	0.569577	0.578482
OG0000095	0.745273	0.629462	0.863107	0.40863	0.430072	0.0178283	0.868647	0.512082	0.512082	0.364172	0.173289	0.000145883	0.724809	0.0339708	0.681503	0.387681	0.267842	0.559136	0.272633	0.290499	0.263401	0.263401	N/A	0.0811604	0.0966759	0.834783	0.610586	0.52976	0.57726	0.330223	0.707246	0.423308	0.771491	0.502382	0.224838	2.73383e-07	0.589299	0.0761053	0.613119	0.681519	0.689156	0.569577	0.578482
OG0000096	0.00308759	0.0218238	0.00294563	0.000397535	0.00907392	0.114875	0.423849	3.88325e-07	0.501753	0.00277446	3.1339e-08	6.30692e-07	0.10744	5.52025e-06	0.619664	0.000314023	0.0405323	8.03766e-05	2.75593e-22	0.452203	0.765936	0.0419071	N/A	0.783532	0.219913	0.223348	0.578417	0.520146	0.553695	0.768336	0.00594	0.00510823	0.000216845	0.249146	0.0764599	0.726575	0.0884673	0.0573963	8.49942e-14	0.0940394	0.806253	0.555469	0.562782
OG0000098	0.731177	0.443439	0.4275	0.4275	0.44882	0.470416	0.598217	3.25276e-20	5.52895e-05	0.173289	0.731036	0.000103515	0.747778	0.708587	0.150017	0.894131	0.894131	0.530435	0.222499	0.238351	0.214388	0.765936	N/A	0.0669132	0.0834485	0.0909402	0.618005	0.532118	0.582843	0.822403	0.68599	0.59653	0.195568	0.798433	0.210251	1.93784e-13	0.0608582	0.612914	0.591751	0.874237	0.672711	0.555469	0.562782
OG0000099	0.426069	0.0100583	0.00821573	0.00343726	0.000363084	0.431485	0.000883713	2.28046e-23	3.33709e-10	0.707177	0.0193381	0.465644	0.130603	0.649506	0.0952018	0.916725	0.122799	0.0270978	0.00537714	0.812742	0.263401	0.480691	N/A	0.298591	0.0834485	0.8258	0.602927	0.527385	0.571556	0.310574	0.696963	0.251459	0.761163	0.129598	0.210251	0.00663199	0.570437	0.0761053	0.0671633	0.518949	0.730366	0.569577	0.578482
OG0000105	0.00565142	0.298925	0.0133486	0.810536	0.820982	0.0960196	0.012784	0.504366	0.00655196	0.00718347	0.000211492	0.498465	0.0539224	0.272706	0.117683	0.929083	0.248048	0.0824491	4.72205e-06	5.99642e-05	0.782922	0.782922	N/A	0.802264	0.249875	0.464827	0.569704	0.517696	0.547481	0.112235	0.674272	0.000956174	0.0665699	0.798433	0.0123871	7.69262e-05	0.585634	0.0667905	0.000343294	0.0750871	0.770932	0.562612	0.570745
OG0000106	0.896596	0.0285967	0.837335	0.837335	0.362001	0.854919	0.862339	0.511233	0.511233	0.719596	8.29079e-06	0.819665	0.730934	0.687282	0.128653	0.907467	0.296668	0.159331	0.0968914	0.416263	0.187553	0.0319845	N/A	0.238185	0.118061	0.803346	0.586852	0.522578	0.559776	0.024462	0.696963	0.404426	0.210688	0.142897	0.00178028	0.000131162	0.592912	0.599414	0.045032	0.173935	0.704151	0.548141	0.554583
OG0000107	0.426069	0.381497	0.120898	0.580935	0.386922	0.616989	0.846508	4.06848e-08	0.00439082	0.678987	0.678987	0.805512	0.697373	0.0237634	0.656346	0.912465	0.157729	0.351318	0.788592	0.265373	5.96227e-06	0.453433	N/A	0.298591	0.303341	0.815424	0.595019	0.52499	0.565729	0.811847	0.674272	0.845688	0.737242	0.0480839	6.0394e-05	0.0733412	0.574318	0.62568	0.60267	0.201688	0.717843	0.562612	0.570745
