OG	count
OG0013544	5
OG0012758	5
OG0013833	5
OG0012475	4
OG0007056	4
OG0010805	4
OG0008149	4
OG0006763	4
OG0006973	4
OG0010205	4
OG0010494	4
OG0010261	4
OG0011298	3
OG0011362	3
OG0012192	3
OG0007217	3
OG0010369	3
OG0006089	3
OG0011467	3
OG0008584	3
OG0007466	3
OG0010897	3
OG0011418	3
OG0014160	3
OG0011489	3
OG0010813	3
OG0012495	3
OG0008123	3
OG0012543	3
OG0008543	3
OG0011898	3
OG0012923	3
OG0012440	3
OG0006742	3
OG0010217	3
OG0012550	3
OG0007057	3
OG0009817	3
OG0008935	3
OG0008031	3
OG0008512	3
OG0012159	3
OG0008102	3
OG0010112	3
OG0008410	3
OG0008816	3
OG0007319	3
OG0013399	3
OG0008393	3
OG0008761	3
OG0013464	3
OG0011439	3
OG0011701	3
OG0012339	3
OG0011682	3
OG0008693	3
OG0012860	3
OG0008564	3
OG0006686	3
OG0011470	3
OG0010132	3
OG0006532	3
OG0012250	3
OG0012221	3
OG0011056	3
OG0009346	3
OG0012255	3
OG0011367	3
OG0011289	3
OG0012231	3
OG0012624	3
OG0008464	3
OG0006303	3
OG0008201	3
OG0011545	3
OG0009471	3
OG0012929	3
OG0010392	3
OG0011345	3
OG0013108	3
OG0011798	3
OG0008798	3
OG0005990	3
OG0011136	3
OG0013496	3
OG0012862	3
OG0011812	3
OG0011099	3
OG0011474	3
OG0009418	3
OG0013109	3
OG0008600	3
OG0010619	3
OG0011870	3
OG0010237	3
OG0011414	3
OG0012513	3
OG0013069	3
OG0011556	3
OG0005846	3
OG0007998	3
OG0008000	3
OG0011941	3
OG0013166	3
OG0011167	3
OG0006476	3
OG0013406	3
OG0009493	3
OG0013176	3
OG0012750	3
OG0012603	3
OG0012577	3
OG0008625	3
OG0011510	3
OG0010910	2
OG0009541	2
OG0009190	2
OG0011903	2
OG0008763	2
OG0012437	2
OG0010818	2
OG0013060	2
OG0012260	2
OG0013462	2
OG0010337	2
OG0011714	2
OG0008767	2
OG0005648	2
OG0009099	2
OG0006940	2
OG0011301	2
OG0009848	2
OG0012534	2
OG0007055	2
OG0011960	2
OG0006452	2
OG0007652	2
OG0002470	2
OG0011952	2
OG0008777	2
OG0013095	2
OG0012889	2
OG0009740	2
OG0013538	2
OG0012859	2
OG0008434	2
OG0011387	2
OG0009417	2
OG0011712	2
OG0008612	2
OG0011791	2
OG0007783	2
OG0012316	2
OG0008738	2
OG0011593	2
OG0013054	2
OG0011313	2
OG0012622	2
OG0010885	2
OG0006983	2
OG0011680	2
OG0009314	2
OG0011630	2
OG0011123	2
OG0009520	2
OG0012960	2
OG0008700	2
OG0012587	2
OG0011887	2
OG0007926	2
OG0013976	2
OG0013585	2
OG0010342	2
OG0007918	2
OG0010163	2
OG0005492	2
OG0012214	2
OG0008717	2
OG0005921	2
OG0009833	2
OG0007194	2
OG0010270	2
OG0012362	2
OG0006890	2
OG0008396	2
OG0006984	2
OG0011188	2
OG0005659	2
OG0013424	2
OG0008740	2
OG0010873	2
OG0006416	2
OG0006466	2
OG0012616	2
OG0010370	2
OG0012635	2
OG0011702	2
OG0013169	2
OG0010550	2
OG0010697	2
OG0012193	2
OG0013727	2
OG0008294	2
OG0009274	2
OG0010843	2
OG0013586	2
OG0010525	2
OG0012551	2
OG0009173	2
OG0011538	2
OG0013140	2
OG0012867	2
OG0007298	2
OG0012526	2
OG0012802	2
OG0012668	2
OG0012868	2
OG0010509	2
OG0008964	2
OG0008739	2
OG0009821	2
OG0012722	2
OG0007458	2
OG0009048	2
OG0010786	2
OG0008992	2
OG0009216	2
OG0014652	2
OG0010345	2
OG0010665	2
OG0007691	2
OG0009406	2
OG0013193	2
OG0007570	2
OG0011428	2
OG0008435	2
OG0009891	2
OG0006333	2
OG0005976	2
OG0011457	2
OG0008526	2
OG0006580	2
OG0008559	2
OG0007050	2
OG0009745	2
OG0011324	2
OG0009760	2
OG0008404	2
OG0007525	2
OG0010000	2
OG0011758	2
OG0008582	2
OG0011900	2
OG0012388	2
OG0009688	2
OG0009829	2
OG0006770	2
OG0006675	2
OG0012520	2
OG0009567	2
OG0010339	2
OG0007286	2
OG0008334	2
OG0010887	2
OG0008651	2
OG0008448	2
OG0012158	2
OG0005954	2
OG0013420	2
OG0005171	2
OG0009142	2
OG0009134	2
OG0012648	2
OG0011769	2
OG0005622	2
OG0006942	2
OG0010941	2
OG0013776	2
OG0006910	2
OG0011395	2
OG0010856	2
OG0011075	2
OG0013402	2
OG0007941	2
OG0009818	2
OG0010316	2
OG0009472	2
OG0013192	2
OG0006619	2
OG0008251	2
OG0011805	2
OG0007346	2
OG0007116	2
OG0011393	2
OG0009794	2
OG0012629	2
OG0010486	2
OG0009925	2
OG0012307	2
OG0006296	2
OG0007848	2
OG0007092	2
OG0011995	2
OG0013090	2
OG0009279	2
OG0013445	2
OG0007500	2
OG0010343	2
OG0013493	2
OG0011292	2
OG0010038	2
OG0009087	2
OG0008845	2
OG0005700	2
OG0011458	2
OG0009773	2
OG0013770	2
OG0008715	2
OG0013520	2
