OG	analysis
OG0011206	cave_species
OG0011510	cave_species
OG0011682	cave_species
OG0011812	cave_species
OG0012193	cave_species
OG0012231	cave_species
OG0012287	cave_species
OG0012492	cave_species
OG0012526	cave_species
OG0012616	cave_species
OG0012692	cave_species
OG0012758	cave_species
OG0012923	cave_species
OG0012929	cave_species
OG0013004	cave_species
OG0013095	cave_species
OG0013176	cave_species
OG0013399	cave_species
OG0013410	cave_species
OG0013496	cave_species
OG0013833	cave_species
OG0010261	cave_species
OG0010494	cave_species
OG0011467	cave_species
OG0011798	cave_species
OG0012475	cave_species
OG0012543	cave_species
OG0013166	cave_species
OG0013544	cave_species
OG0013833	cave_species
OG0007057	cave_species
OG0011418	cave_species
OG0012577	cave_species
OG0013108	cave_species
OG0013544	cave_species
OG0013833	cave_species
OG0006532	cave_species
OG0006973	cave_species
OG0007056	cave_species
OG0008031	cave_species
OG0008123	cave_species
OG0008149	cave_species
OG0008798	cave_species
OG0009471	cave_species
OG0010205	cave_species
OG0012758	cave_species
OG0012758	cave_species
OG0013544	cave_species
OG0013544	cave_species
OG0013833	cave_species
OG0010205	cave_species
OG0012758	cave_species
OG0012758	cave_species
OG0013544	cave_species
OG0006264	cave_species
OG0006333	cave_species
OG0006742	cave_species
OG0007057	cave_species
OG0007115	cave_species
OG0007208	cave_species
OG0008201	cave_species
OG0008304	cave_species
OG0009099	cave_species
OG0009493	cave_species
OG0010112	cave_species
OG0010619	cave_species
OG0010805	cave_species
OG0011056	cave_species
OG0011085	cave_species
OG0011099	cave_species
OG0011136	cave_species
OG0011344	cave_species
OG0011414	cave_species
OG0011418	cave_species
OG0011474	cave_species
OG0012158	cave_species
OG0012231	cave_species
OG0012437	cave_species
OG0012577	cave_species
OG0012638	cave_species
OG0012758	cave_species
OG0012868	cave_species
OG0012952	cave_species
OG0013047	cave_species
OG0013069	cave_species
OG0013090	cave_species
OG0013108	cave_species
OG0013140	cave_species
OG0013176	cave_species
OG0013192	cave_species
OG0013335	cave_species
OG0013496	cave_species
OG0013544	cave_species
OG0013585	cave_species
OG0013586	cave_species
OG0013715	cave_species
OG0013833	cave_species
OG0005341	cave_species
OG0005921	cave_species
OG0005990	cave_species
OG0006468	cave_species
OG0006532	cave_species
OG0006890	cave_species
OG0006973	cave_species
OG0007050	cave_species
OG0007056	cave_species
OG0007162	cave_species
OG0007239	cave_species
OG0007346	cave_species
