FamilyID	Rhtyp<1>	Cacar<2>	Sasal<3>	Darer<4>	Acbae<5>	Ercal<6>	Prang<7>	Modom<8>	Cocri<9>	Ororc<10>	Botau<11>	Ovari<12>	Myluc<13>	Scvul<14>	Ranor<15>	Hegla<16>	Capor<17>	Hosap<18>	Chsab<19>	Elmax<20>	Ancor<21>	Tagut<22>	Chpic<23>	Tecar<24>	Lacha<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>
OG0002848	0.00515357	0.12668	0.228087	1.23213e-07	0.13061	0.84513	0.00363175	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.724344	N/A	0.592429	0.550158	0.0258463	0.0543707	0.0676337	0.511835	0.550308	0.000106819	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
OG0002855	0.545213	0.545213	0.151947	0.726992	0.696983	0.714031	0.622813	0.562346	0.566668	0.0693632	0.526786	0.526786	0.0945362	0.0829912	0.0291848	0.533442	0.533442	0.523909	0.000371507	0.0408779	0.601706	0.595997	0.515756	0.515756	0.640052	N/A	0.549882	0.526091	0.525528	0.535701	0.046041	0.505971	0.526172	0.513796	0.561975	0.0127431	0.504436	0.506565	0.504505	0.519414	0.0153205	0.505802	0.514314	0.50025	0.524036	0.546672	0.516419	0.507851	0.584015
OG0002856	0.545213	0.545213	0.0752147	0.642216	0.696983	0.714031	0.622813	0.562346	0.535167	0.546233	0.535231	0.535231	0.533127	1.2599e-05	0.528781	0.51716	0.51716	8.10894e-10	0.523909	0.5401	0.601706	0.595997	0.515756	0.515756	0.640052	N/A	0.549882	0.526091	0.525528	0.535701	0.58857	0.505971	0.526172	0.513796	0.561975	0.525178	0.502225	0.503299	0.50226	0.00495005	0.000579807	0.502914	0.507235	0.500125	0.512242	0.0122467	0.516419	0.507851	0.584015
OG0002857	0.545213	0.545213	0.642216	0.642216	0.696983	0.714031	2.26052e-13	0.562346	0.535167	0.523971	0.509178	0.509178	0.0168283	0.528896	0.528781	0.51716	0.51716	0.512176	0.00612448	0.5401	0.0531203	0.595997	0.00793894	0.515756	0.640052	N/A	0.549882	0.526091	0.525528	0.535701	0.58857	0.505971	0.526172	0.513796	0.561975	0.525178	0.502225	0.503299	0.50226	0.509852	0.515207	0.502914	0.507235	0.500125	0.512242	0.524208	0.516419	0.507851	0.584015
OG0002862	0.545213	0.545213	0.00559972	0.726992	0.786623	0.802467	0.702425	0.170181	0.566668	0.0693632	0.518104	0.518104	0.0945362	0.555311	0.0826765	0.533442	0.0501677	0.0358647	0.523909	0.113231	0.673521	0.100367	0.515756	0.515756	0.724344	N/A	0.549882	0.0132111	0.549118	0.567625	0.654351	0.511835	0.550308	0.527023	0.612678	0.54847	0.504436	0.506565	0.504505	0.519414	0.529723	0.505802	0.514314	0.50025	0.524036	0.546672	0.532033	0.515518	0.221867
OG0002873	0.58439	0.12668	0.726992	0.726992	0.438998	0.465532	0.702425	0.562346	0.535167	0.523971	0.509178	0.509178	0.0168283	0.528896	0.528781	0.51716	0.51716	0.512176	0.512176	0.5401	2.66141e-07	0.716087	0.0461601	0.530771	0.3396	N/A	0.592429	0.550158	0.549118	0.567625	0.654351	0.511835	0.550308	0.527023	0.169266	0.525178	0.502225	0.503299	0.50226	0.509852	0.515207	0.502914	0.507235	0.500125	0.512242	0.524208	0.0165515	0.523005	0.299828
OG0002876	0.58439	0.58439	0.221691	0.221691	0.438998	0.465532	0.305685	0.613285	0.566668	0.546233	0.509178	0.509178	0.562999	0.528896	0.528781	0.00865232	0.51716	0.0358647	0.523909	0.113231	0.673521	0.248909	0.530771	0.530771	0.724344	N/A	0.592429	0.550158	0.549118	0.567625	0.0922915	0.511835	0.550308	0.527023	0.612678	0.54847	0.504436	0.506565	0.504505	0.519414	0.0445878	0.505802	0.021471	0.500125	0.512242	0.546672	0.532033	0.515518	0.647489
OG0002879	0.545213	0.545213	0.779725	0.000521035	0.696983	0.714031	0.00111613	0.562346	0.535167	0.523971	0.509178	0.509178	1.91058e-05	0.0146502	0.528781	0.51716	0.51716	0.512176	0.512176	0.5401	0.0531203	0.0500374	0.515756	0.515756	0.640052	N/A	0.549882	0.526091	0.525528	0.535701	0.00427644	0.505971	0.526172	0.513796	0.561975	0.525178	0.502225	0.503299	0.50226	0.509852	0.515207	0.502914	0.507235	0.500125	0.512242	0.524208	0.516419	0.507851	0.584015
OG0002881	0.545213	0.545213	0.051791	0.726992	0.696983	0.714031	0.064591	0.562346	0.100047	0.0242524	0.509178	0.509178	0.0945362	0.043896	0.579194	0.548895	0.548895	0.523909	0.0358647	0.575443	0.601706	0.595997	0.515756	0.00793894	0.204337	N/A	0.549882	0.526091	0.525528	0.535701	0.046041	0.505971	0.526172	0.513796	0.561975	0.0127431	0.504436	0.506565	0.504505	0.519414	0.0445878	0.505802	0.0072612	0.500375	0.5354	0.546672	0.516419	0.507851	0.584015
OG0002885	0.000184374	0.12668	0.726992	0.343724	0.0473379	0.465532	0.702425	0.613285	0.566668	0.0693632	0.518104	0.518104	0.562999	0.555311	0.555101	0.0501677	0.533442	0.523909	0.523909	0.575443	0.106612	0.0082178	0.530771	0.530771	0.0204976	N/A	0.592429	0.550158	0.549118	0.567625	0.654351	0.511835	0.550308	0.527023	0.612678	0.54847	0.504436	0.506565	0.504505	0.519414	0.529723	0.505802	0.514314	0.50025	0.524036	0.546672	0.532033	0.515518	0.647489
OG0002886	0.545213	0.0230927	0.100637	0.779725	0.283207	0.714031	0.1799	0.562346	0.0524296	0.0242524	0.518104	0.027157	0.533127	0.0293026	0.00208223	0.51716	0.51716	0.523909	3.60942e-06	0.5401	0.601706	0.595997	0.515756	0.00793894	0.640052	N/A	0.549882	0.526091	0.525528	0.535701	0.00427644	0.505971	0.526172	0.513796	0.561975	0.525178	0.502225	0.503299	0.50226	0.00495005	0.529723	0.00145891	0.514314	0.50025	0.0360553	0.546672	0.516419	0.507851	0.584015
OG0002890	0.545213	0.545213	0.642216	0.207389	0.283207	0.306195	1.92868e-05	0.562346	0.566668	0.546233	0.518104	0.518104	7.26067e-05	0.555311	0.0826765	0.51716	0.51716	0.0358647	0.523909	0.575443	0.601706	0.14144	1.54999e-07	0.530771	0.640052	N/A	0.549882	0.526091	0.525528	0.535701	0.58857	0.505971	0.526172	0.513796	0.561975	0.0127431	0.504436	0.506565	0.504505	0.519414	0.529723	0.505802	0.514314	0.50025	0.0360553	0.546672	0.516419	0.507851	0.043599
OG0002891	0.545213	0.00106883	0.0752147	0.642216	0.283207	0.714031	0.064591	0.562346	0.100047	0.546233	0.027157	0.000210972	0.0336603	0.0293026	0.555101	0.000738619	0.533442	0.0358647	0.523909	0.5401	0.601706	0.595997	0.515756	0.515756	0.0740267	N/A	0.549882	0.526091	0.525528	0.535701	0.58857	0.505971	0.526172	0.513796	0.561975	0.525178	0.00111384	0.506565	0.504505	0.519414	0.529723	0.505802	0.514314	0.50025	0.524036	0.546672	0.516419	0.507851	0.584015
OG0002894	0.0672845	4.94705e-05	0.000275175	0.207389	0.283207	0.306195	2.36228e-28	0.562346	0.0524296	0.5	0.5	0.5	0.533127	0.5	0.5	0.5	0.5	0.5	0.5	0.0597315	0.5	0.5	0.5	0.5	0.204337	N/A	0.549882	0.526091	0.525528	0.535701	0.58857	0.505971	0.526172	0.513796	0.561975	0.525178	0.502225	0.503299	0.50226	0.0147536	0.5	0.00436827	0.5	0.5	0.5	0.5	0.0245596	0.5	0.5
OG0002900	0.58439	0.12668	0.151947	0.726992	0.100366	0.238122	0.129999	0.0924808	0.535167	0.523971	0.509178	4.25057e-05	0.533127	0.528896	0.528781	0.51716	0.51716	0.512176	0.512176	0.5401	0.673521	0.248909	0.530771	0.0158781	0.724344	N/A	0.592429	0.550158	0.549118	0.567625	0.654351	0.511835	0.550308	0.527023	0.169266	0.525178	0.502225	0.503299	0.50226	0.509852	0.515207	0.502914	0.507235	0.500125	0.512242	0.524208	0.532033	0.515518	0.647489
OG0002911	0.58439	0.58439	0.779725	0.779725	0.786623	0.802467	0.305685	0.562346	0.535167	0.0121257	0.509178	0.00460988	0.533127	0.528896	0.0145913	0.51716	0.51716	0.512176	7.50298e-05	0.5401	0.673521	0.248909	0.530771	0.0158781	0.3396	N/A	0.592429	0.550158	0.549118	0.567625	0.0922915	0.511835	0.550308	0.527023	0.169266	0.525178	0.502225	0.503299	0.50226	0.509852	0.515207	0.502914	0.507235	0.500125	0.512242	0.524208	0.532033	0.515518	0.647489
OG0002913	0.545213	0.545213	0.0752147	0.642216	0.696983	0.714031	0.622813	0.562346	0.535167	0.0242524	0.027157	2.1168e-12	0.533127	0.0146502	0.528781	0.51716	0.51716	0.512176	1.69002e-12	0.5401	0.601706	0.595997	0.515756	0.515756	0.640052	N/A	0.549882	0.526091	0.525528	0.535701	0.58857	0.505971	0.526172	0.513796	0.561975	0.525178	0.502225	0.503299	0.50226	0.00495005	0.529723	0.502914	0.507235	0.500125	0.512242	0.524208	0.516419	0.507851	0.584015
OG0002918	0.545213	0.545213	2.4262e-08	0.437175	0.438998	0.118944	0.622813	0.562346	0.535167	0.523971	0.509178	0.509178	0.533127	0.528896	0.528781	0.51716	0.51716	0.512176	0.512176	0.5401	0.601706	0.595997	0.515756	0.515756	0.640052	N/A	0.549882	0.526091	0.0129225	0.567625	0.0922915	0.505971	0.526172	0.513796	0.561975	0.525178	0.502225	0.503299	0.50226	0.509852	0.515207	0.502914	0.507235	0.500125	0.512242	0.524208	0.516419	0.507851	0.584015
OG0002921	0.545213	0.545213	0.0752147	0.642216	0.696983	0.714031	0.622813	0.562346	0.535167	0.523971	0.509178	3.07238e-13	0.533127	0.00209888	0.0291848	0.51716	0.51716	0.0358647	3.60942e-06	0.575443	0.601706	0.595997	0.515756	0.515756	0.640052	N/A	0.549882	0.526091	0.525528	0.535701	0.58857	0.505971	0.526172	0.513796	0.561975	0.0127431	0.504436	0.0098469	0.50226	0.509852	0.515207	0.505802	0.514314	0.50025	0.0360553	0.546672	0.516419	0.507851	0.584015
OG0002924	0.0230927	0.545213	0.000105092	0.779725	0.216805	0.714031	0.064591	0.562346	0.535167	0.523971	0.509178	0.509178	0.000567024	0.528896	0.528781	0.51716	0.51716	0.512176	0.512176	0.5401	0.601706	0.595997	0.515756	0.00793894	0.640052	N/A	0.549882	0.526091	0.525528	0.0181571	0.0922915	0.505971	0.526172	0.513796	0.561975	0.525178	0.502225	0.503299	0.50226	0.509852	0.515207	0.502914	0.507235	0.500125	0.512242	0.524208	0.516419	0.507851	0.584015
OG0002926	0.00515357	0.12668	0.051791	0.726992	0.438998	0.465532	0.702425	0.613285	0.100047	0.546233	0.027157	0.518104	0.562999	0.0146502	0.528781	0.51716	0.51716	0.512176	0.512176	0.0408779	0.261423	0.248909	0.530771	0.0461601	0.724344	N/A	0.592429	0.550158	0.549118	0.567625	0.654351	0.511835	0.550308	0.527023	0.612678	0.54847	0.504436	0.506565	0.504505	0.519414	0.529723	0.00870265	0.507235	0.500125	0.512242	0.524208	0.532033	0.515518	0.647489
OG0002927	0.58439	0.12668	0.726992	0.726992	0.438998	0.465532	0.129999	0.562346	0.000640279	0.523971	0.509178	0.509178	8.29807e-13	0.528896	0.000426178	0.51716	0.51716	0.512176	0.0182261	0.5401	0.601706	0.595997	0.515756	0.515756	0.724344	N/A	0.592429	0.550158	0.549118	0.567625	0.654351	0.511835	0.550308	0.0405375	0.561975	0.525178	0.502225	0.503299	0.50226	0.509852	0.515207	0.502914	0.507235	0.500125	0.512242	0.524208	0.516419	0.507851	0.584015
OG0002930	0.545213	0.545213	0.100637	0.779725	0.696983	0.714031	0.064591	0.0924808	0.535167	0.546233	0.518104	0.000210972	0.533127	0.555311	0.555101	0.0173049	0.0501677	0.00612448	0.512176	0.5401	0.0531203	0.595997	0.515756	0.515756	0.640052	N/A	0.549882	0.526091	0.525528	0.535701	0.00427644	0.505971	0.526172	0.513796	0.561975	0.525178	0.502225	0.503299	0.50226	0.00495005	0.529723	0.502914	0.0036306	0.50025	0.524036	0.524208	0.516419	0.507851	0.584015
OG0002937	0.0461987	0.12668	0.051791	0.726992	0.00390474	0.465532	0.00363175	0.562346	0.535167	0.523971	0.509178	0.509178	0.533127	0.0146502	0.528781	0.51716	0.51716	0.512176	0.512176	0.5401	0.601706	0.595997	0.515756	0.00793894	0.3396	N/A	0.592429	0.550158	0.549118	0.567625	0.654351	0.511835	0.550308	0.0405375	0.561975	0.525178	0.502225	0.503299	0.50226	0.509852	0.515207	0.502914	0.507235	0.500125	0.512242	0.524208	0.516419	0.507851	0.584015
OG0002939	0.545213	0.545213	0.0752147	0.642216	0.696983	0.714031	0.622813	0.0320766	0.535167	0.523971	0.509178	0.509178	0.0494068	0.058379	0.0581462	0.0345612	0.563567	0.512176	0.512176	0.5401	0.0531203	0.595997	0.515756	0.515756	0.640052	N/A	0.549882	0.526091	0.525528	0.535701	0.58857	0.505971	0.526172	0.513796	0.561975	0.525178	0.502225	0.503299	0.50226	0.509852	0.515207	0.502914	1.91443e-07	0.500501	0.546352	0.524208	0.516419	0.507851	0.584015
OG0002944	0.545213	0.545213	0.642216	0.642216	0.696983	0.714031	0.622813	0.562346	0.566668	2.7529e-05	0.518104	0.518104	0.00276072	0.0293026	0.555101	0.533442	0.533442	0.523909	0.523909	0.575443	0.149671	0.595997	0.515756	0.515756	0.640052	N/A	0.549882	0.526091	0.525528	0.535701	0.58857	0.505971	0.526172	0.513796	0.561975	0.0127431	0.504436	0.506565	0.504505	0.519414	0.529723	0.505802	0.514314	0.50025	0.524036	0.546672	0.516419	0.507851	0.584015
OG0002948	0.545213	0.545213	0.779725	0.221691	0.696983	0.714031	0.622813	0.562346	0.566668	0.0693632	0.518104	0.00921979	0.562999	0.555311	0.555101	0.533442	0.0501677	0.523909	0.523909	0.575443	0.601706	0.595997	0.515756	0.00793894	0.640052	N/A	0.549882	0.526091	0.525528	0.535701	0.00427644	0.505971	0.526172	0.513796	0.561975	0.0127431	0.504436	0.506565	0.504505	0.519414	0.529723	0.505802	0.514314	0.50025	0.524036	0.546672	0.516419	0.507851	0.584015
OG0002953	0.545213	0.545213	0.642216	0.642216	0.105324	0.714031	0.064591	0.562346	0.566668	0.546233	0.518104	0.518104	0.0945362	0.00209888	0.555101	0.533442	0.533442	0.523909	0.000371507	0.575443	0.601706	0.595997	0.515756	0.515756	0.640052	N/A	0.549882	0.526091	0.525528	0.535701	0.58857	0.505971	0.526172	0.513796	0.561975	0.0127431	0.504436	0.506565	0.504505	0.519414	0.529723	0.505802	0.514314	0.50025	0.524036	0.546672	0.516419	0.507851	0.584015
OG0002955	0.58439	0.58439	0.0289523	0.814096	0.438998	0.802467	0.702425	0.562346	0.0524296	0.523971	0.509178	0.509178	0.0494068	0.528896	0.528781	0.51716	0.51716	0.512176	0.512176	0.0597315	0.673521	0.665303	0.530771	0.000622515	0.724344	N/A	0.592429	0.550158	0.549118	0.567625	0.0199172	0.511835	0.550308	0.527023	0.169266	0.525178	0.502225	0.503299	0.50226	0.509852	0.515207	0.502914	0.507235	0.500125	0.512242	0.524208	0.532033	0.515518	0.647489
OG0002957	0.12668	5.87767e-07	0.00105976	0.343724	0.438998	0.118944	0.129999	0.562346	0.535167	0.523971	0.509178	0.509178	0.533127	0.528896	0.528781	0.51716	0.51716	0.512176	0.512176	0.5401	0.601706	0.14144	0.00793894	0.515756	0.724344	N/A	0.592429	0.550158	0.549118	0.567625	0.654351	0.511835	0.550308	0.0405375	0.561975	0.525178	0.502225	0.503299	0.50226	0.509852	0.515207	0.502914	0.507235	0.500125	0.512242	0.524208	0.516419	0.507851	0.584015
OG0002960	0.58439	0.00141976	0.100637	0.221691	0.0473379	0.238122	0.129999	0.613285	0.000807363	0.0242524	0.00921979	0.518104	0.0945362	0.555311	0.555101	0.533442	0.533442	0.512176	0.512176	0.113231	0.601706	0.14144	0.5	0.5	0.724344	N/A	0.592429	0.550158	0.549118	0.567625	0.0922915	0.511835	0.550308	0.527023	0.612678	0.54847	0.504436	0.506565	0.504505	0.519414	0.529723	0.505802	0.514314	0.50025	0.524036	0.0700227	0.0480544	0.507851	0.124093
OG0002961	0.58439	0.12668	0.726992	0.151947	0.0473379	0.802467	0.702425	0.0642027	0.100047	0.0693632	0.518104	0.518104	0.562999	0.555311	0.555101	0.533442	0.000169592	0.523909	0.523909	0.113231	0.261423	0.665303	0.530771	0.530771	0.3396	N/A	0.592429	0.550158	0.549118	0.567625	0.654351	0.511835	0.550308	0.527023	0.612678	0.54847	0.504436	0.506565	0.504505	0.519414	0.529723	0.505802	0.514314	0.50025	0.524036	0.546672	0.532033	0.515518	0.647489
OG0002971	0.545213	0.545213	0.0752147	0.642216	0.696983	0.714031	0.00111613	0.562346	0.535167	0.523971	0.509178	0.00460988	0.533127	0.00209888	2.06371e-09	0.51716	0.51716	0.0358647	0.012249	0.5401	0.149671	0.595997	0.515756	0.515756	0.640052	N/A	0.549882	0.526091	0.525528	0.535701	0.58857	0.505971	0.526172	0.513796	0.561975	0.525178	0.502225	0.503299	0.50226	0.509852	0.515207	0.00145891	0.514314	0.50025	0.0360553	0.546672	0.516419	0.507851	0.584015
OG0002975	0.545213	0.545213	0.642216	0.642216	0.696983	0.714031	0.622813	0.562346	0.000640279	0.523971	0.509178	4.25057e-05	0.533127	0.043896	0.579194	6.3668e-07	0.000487178	0.0358647	0.012249	0.5401	0.601706	0.14144	0.515756	0.515756	0.640052	N/A	0.549882	0.526091	0.525528	0.535701	0.58857	0.505971	0.526172	0.513796	0.561975	0.525178	0.502225	0.503299	0.50226	0.509852	0.515207	0.00145891	0.0072612	0.500375	0.5354	0.546672	0.516419	0.507851	0.584015
OG0002982	0.545213	0.0230927	0.100637	0.779725	0.786623	0.802467	0.622813	0.0320766	0.535167	0.523971	0.509178	0.509178	0.533127	0.555311	0.555101	0.51716	0.51716	0.523909	0.523909	0.5401	0.601706	0.595997	0.515756	0.000126085	0.640052	N/A	0.549882	0.526091	0.0129225	0.567625	0.0922915	0.505971	0.526172	0.513796	0.561975	0.525178	0.502225	0.503299	0.50226	0.509852	0.515207	0.00145891	0.514314	0.50025	0.0360553	0.546672	0.516419	0.507851	0.584015
OG0002995	0.0461987	0.12668	0.151947	0.343724	0.438998	0.465532	0.305685	0.0642027	0.535167	0.523971	0.518104	0.518104	0.533127	0.555311	0.0826765	0.533442	0.533442	0.512176	0.512176	0.5401	0.261423	0.665303	0.530771	0.530771	0.149475	N/A	0.592429	0.550158	0.549118	0.567625	0.654351	0.511835	0.550308	0.527023	0.612678	0.0727207	0.502225	0.503299	0.50226	0.509852	0.00766016	0.502914	0.0036306	0.50025	0.524036	0.524208	0.532033	0.515518	0.647489
OG0002998	0.545213	0.545213	0.726992	0.726992	0.696983	0.714031	0.622813	0.00206639	0.535167	0.523971	0.535231	0.000904337	0.533127	0.000429626	0.528781	0.51716	0.51716	0.523909	0.523909	0.5401	0.601706	0.595997	0.515756	0.515756	0.640052	N/A	0.549882	0.526091	0.525528	0.535701	0.046041	0.505971	0.526172	0.513796	0.561975	0.525178	0.502225	0.503299	0.50226	0.509852	1.79878e-06	0.502914	0.507235	0.500125	0.512242	0.0122467	0.516419	0.507851	0.584015
OG0003004	0.0461987	0.12668	0.726992	0.726992	0.100366	0.465532	0.000588087	0.562346	0.535167	0.523971	0.509178	0.509178	0.533127	0.528896	0.0429583	0.51716	0.51716	0.512176	0.00612448	0.5401	0.261423	0.248909	0.0461601	7.82013e-06	0.3396	N/A	0.592429	0.550158	0.549118	0.567625	0.654351	0.511835	0.550308	0.527023	0.169266	0.525178	0.502225	0.503299	0.50226	0.509852	0.515207	0.502914	0.507235	0.500125	0.512242	0.524208	0.532033	0.515518	0.647489
OG0003011	0.58439	0.12668	0.726992	0.02128	0.786623	0.802467	0.129999	0.613285	0.0357667	0.000347852	0.518104	0.027157	0.0336603	0.528896	0.528781	0.0256651	0.00014977	0.512176	0.512176	0.0408779	0.261423	0.0082178	0.0158781	0.0461601	0.149475	N/A	0.592429	0.550158	0.549118	0.567625	0.654351	0.511835	0.550308	0.527023	0.612678	0.54847	0.504436	0.506565	0.504505	0.519414	0.529723	0.00870265	0.507235	0.500125	0.512242	0.524208	0.532033	0.515518	0.647489
OG0003019	0.545213	0.545213	0.151947	0.726992	0.216805	0.714031	0.00849071	0.562346	0.535167	0.523971	0.509178	0.509178	0.533127	0.528896	0.528781	0.51716	0.51716	2.07041e-14	0.512176	0.5401	0.601706	0.595997	0.515756	0.00793894	0.0740267	N/A	0.549882	0.526091	0.525528	0.0181571	0.654351	0.505971	0.526172	0.513796	0.561975	0.525178	0.502225	0.503299	0.50226	0.509852	0.515207	0.502914	0.507235	0.500125	0.512242	0.524208	0.516419	0.507851	0.584015
